"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules","minimum_tax"
"CO","COL","Colombia",2022,0.35,0,12,0.737888702767901,0.305956530933891,0.869865253929667,0.5,0,0,0.435,0,2,0,2.251,0.38999999,65.985844,0,0,9.92,0.1,0.1,19,0,0.344342969,0.5,0.53004675991075,1,1,1,0,1,1,0,0,0,0.1,0.2,0.2,12,0.666666666666667,0.5,0
"CR","CRI","Costa Rica",2022,0.3,0,3,0.822456690745778,0.278958448750364,0.737888702767901,0.5,0,0,-0.02,0,5,0,4.889,0.33445206,6.472083,1.060964624,0,31.373,0.15,0.15,13,0,0.452005904,0.5,0.222355904501785,0,0,1,1,0,1,1,1,0,0.15,0.15,0.25,3,0,1,0
"CZ","CZE","Czech Republic",2022,0.19,2,5,0.972093023255814,0.543222830616488,0.841318847888109,0.5,0,0,0.18,0,0,0,0,0.275,3.810768,1.120401619,0,0,0,0.23,21,77519.37984,0.590285215,0.5,0.0928064487597968,0,1,0,0,0,0,1,1,1,0.15,0.15,0.15,94,0.333333333333333,1,0
"DE","DEU","Germany",2022,0.29927068,2,60,0.847117028387074,0.391406012913837,0.869865253929667,1,0,0,0.185,0,0,1,0,0.47475,5.450095,1.111041873,1,0,0.26375,0.26375,19,29542.93058,0.52217103,0.5,0.206912866802003,0,1,1,0,0,0,0.95,0.95,0,0.26375,0,0.15825,95,0.333333333333333,1,0
"DK","DNK","Denmark",2022,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,0.065,0,0,0,4.425,0.559044,1.3107,1.240211108,0,0,0.42,0.42,25,7587.253414,0.640774934,0.5,0.735342378470222,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,76,0.666666666666667,1,0
"EE","EST","Estonia",2022,0.2,100,100,1,1,1,1,1,0,0,0,1,0,0,0.2,0.329784,1.163877417,0,0,0.2,0,20,72727.27273,0.72107055,1,0.111727831198518,0,0,0,0,0,0,1,1,1,0,0,0.1,62,0.333333333333333,1,0
"ES","ESP","Spain",2022,0.25,0,25,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,1,2,0,0,0.45,11.066264,1.23107068,0,0,0.26,0.26,21,0,0.418982307,0.5,0.562836246063469,1,1,1,0,1,1,0.95,0.95,1,0.19,0.19,0.24,95,0.333333333333333,1,0
"FI","FIN","Finland",2022,0.2,0,10,0.934782608695652,0.518965517241379,0.737888702767901,0,0,0,0,0,0,0,0,0.59413343,1.828297,1.312210489,0,0,0.34,0.289,24,18072.28916,0.582231578,0.5,0.369898739654983,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.666666666666667,1,0
"FR","FRA","France",2022,0.25825,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.3525,1,1,1,1.19,0.55572,14.850376,1.290221825,0,0,0.34,0.34,20,117534.2466,0.489960423,0.5,1.07472092106941,0.5,1,1,1,0,1,0.95,0.88,1,0.25,0,0.25,122,0.666666666666667,1,0
"GB","GBR","United Kingdom",2022,0.19,1,50,1.3,0.391406012913837,0.826923076923077,0,0,1,0.195,1,2,0,0,0.4774,3.532088,1.372110524,0,0,0.2,0.3935,20,123188.4058,0.442388835,0.5,1.69338503062477,0,1,1,1,0,1,1,1,0,0,0.2,0.2,130,0.5,1,0
"GR","GRC","Greece",2022,0.22,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.23,0,0,0,1.035,0.5354605,2.294237,1.268141628,0,0,0.15,0.05,24,18330.25996,0.381937085,0.5,1.06619312261911,0,1,1,1,1,0,1,1,1,0.05,0.15,0.2,57,0.333333333333333,1,0
