"ISO_2","ISO_3","country","year","corporate_rate","loss_carryback","loss_carryforward","machines_cost_recovery","buildings_cost_recovery","intangibles_cost_recovery","inventory","allowance_corporate_equity","patent_box","r_and_d_credit","digital_services_tax","corporate_alt_minimum","corporate_surtax","corporate_other_rev","top_income_rate","threshold_top_income_rate","tax_wedge","personal_surtax","personal_other_rev","capital_gains_rate","index_capital_gains","dividends_rate","vat_rate","vat_threshold","vat_base","property_tax","property_tax_collections","net_wealth","estate_or_inheritance_tax","transfer_tax","asset_tax","capital_duties","financial_transaction_tax","dividends_exemption","capital_gains_exemption","country_limitations","dividends_withholding_tax","interest_withholding_tax","royalties_withholding_tax","tax_treaties","cfc_rules","thin_capitalization_rules"
"DK","DNK","Denmark",2019,0.22,0,60,0.826923076923077,0.479318672008477,0.81340644290143,0,0,0,-0.005,0,0,0,3.256,0.478584,1.287778,1.30861582918047,8,0,0.42,NA,0.42,25,6907.63633670914,0.60685594207997,0.5,0.694549034895502,0,1,1,0,0,0,1,1,1,0.22,0.22,0.22,75,0.5,1
"EE","EST","Estonia",2019,0.2,100,100,1,1,1,1,1,0,0,0,1,0,0,0.2,0.387521,1.21281302071182,0,0,0.2,NA,0,20,72611.8858395931,0.74550763223201,1,0.128055794542678,0,0,0,0,0,0,1,1,1,0,0,0.1,58,0.25,1
"ES","ESP","Spain",2019,0.25,0,70,0.778563038959402,0.391406012913837,0.737888702767901,0.5,0,1,0.295,0,1,0,0,0.435,2.409777,1.21577757711034,0,0,0.23,NA,0.23,21,0,0.439643198074384,0.5,0.558633022547583,1,1,1,0,1,0,1,1,1,0.19,0.19,0.24,93,0.25,1
"FI","FIN","Finland",2019,0.2,0,10,0.826923076923077,0.518965517241379,0.737888702767901,0,0,0,-0.005,0,0,0,0,0.58435142,1.842791,1.29645377407615,0,0,0.34,NA,0.289,24,11062.4119155451,0.561295788906128,0.5,0.34500709654085,0,1,1,0,0,1,1,1,1,0.2,0,0.2,76,0.375,1
"FR","FRA","France",2019,0.34433333,1,50,0.880275603755891,0.547953910556565,0.869865253929667,0.5,0,1,0.405,1,4,3.3,1.048,0.45872,14.63573,1.23649969603813,9.7,0,0.34,NA,0.34,20,103912.923981672,0.498214328093252,0.5,1.2132403774638,0.5,1,1,1,0,1,0.95,0.88,1,0.3,0,0.333,122,0.5,1
"GB","GBR","United Kingdom",2019,0.19,1,50,0.758823529411765,0,0.826923076923077,0,0,1,0.19,0,1,0,0,0.47,3.785407,1.38411367483385,0,0,0.2,NA,0.381,20,119167.287037543,0.445295628566014,0.5,1.77833098148845,0,1,1,1,0,1,1,1,0,0,0.2,0.2,129,0.375,1
"GR","GRC","Greece",2019,0.24,0,5,0.737888702767901,0.479318672008477,0.737888702767901,0.5,0,0,0.09,0,0,0,1.243,0.45,11.700915,1.26228063290535,10,0,0.15,NA,0.1,24,16710.6993594789,0.424655512267414,0.5,1.1194166563592,0,1,1,1,1,0,1,0,1,0.1,0.15,0.2,57,0.25,1
"HU","HUN","Hungary",2019,0.09,0,2.5,0.816200383417959,0.278958448750364,0.737888702767901,0.5,0,1,0.1975,1,1,0,0.056,0.335,0,1,0,0.176,0.15,NA,0.15,27,57601.502523673,0.560011227383787,0.5,0.299035507020923,0,1,1,1,0,0,1,1,0,0,0,0,81,0.25,1
"IE","IRL","Ireland",2019,0.125,1,100,0.787075165170195,0.479318672008477,0.646263719038607,0.5,0,1,0.26,0,1,0,0.007,0.44,1.483161,1.46098230085366,8,0,0.33,NA,0.51,23,92218.141398691,0.483543574474723,0.5,0.375481623170412,0,1,1,0,0,1,0,1,1,0.2,0.2,0.2,73,0.25,0
"IL","ISR","Israel",2019,0.23,0,100,0.737888702767901,0.479318672008477,0.787075165170195,0.5,0,1,0,0,0,0,4.753,0.5,4.120324,1.68228951964811,0,0,0.28,NA,0.33,17,26132.3890060412,0.624875633694561,0.5,1.20428904937781,0,0,1,0,0,0,1,1,0,0.3,0.23,0.23,56,0.25,0
