"ISO_3","year","tax_wedge"
"ISL",2025,1.34378205474091
"ISR",2025,1.79280884730865
"ITA",2025,1.30296067874503
"JPN",2025,1.11956840365063
"KOR",2025,1.27609347562498
"LTU",2025,1.2424947509349
"LUX",2025,1.37786233832202
"LVA",2025,1.16595045464564
"MEX",2025,1.17974865556071
"NLD",2025,1.50476208458295
"NOR",2025,1.30274639826998
"NZL",2025,1.55337551168553
"POL",2025,1.22762931620692
"PRT",2025,1.21309780722755
"SVK",2025,1.12892476476928
"SVN",2025,1.16400007357366
"SWE",2025,1.23000445202204
"TUR",2025,1.23379545588622
"USA",2025,1.24950812241644
